ZipCode,City,State,MedianPrice,Latitude,Longitude,NearestStation,MetroDistanceMeters,DistanceToDC_Meters,Growth_1Y,Growth_3Y,Growth_5Y,Growth_10Y,Price_Volatility
20611,Bel Alton,MD,453322.6266653308,38.4550138,-76.9782444,Franconia-Springfield,38352.31,49481.13,0.05188650722705886,0.08192953065135042,0.3167306181256398,0.5542692056678666,0.021308103767558657
20689,Sunderland,MD,552958.2010675721,38.6629521,-76.5794051,Branch Ave,34137.83,46878.23,0.027185525911651028,0.06879477174994927,0.29426540556565955,0.48973714131926893,0.020454510694519833
20194,Reston,VA,775695.7047574642,38.9810592,-77.3407754,Reston Town Center,3565.41,28565.59,0.07567972137769644,0.18458448583475334,0.36111456084782456,0.45747148224287304,0.019603438141476203
22027,Dunn Loring,VA,1320904.4614293072,38.8948436,-77.2230654,Dunn Loring-Merrifield,1410.1,16876.94,0.0770517380750429,0.17057626272963905,0.3957285028413248,0.5857907954308662,0.0239836097065996
22201,Arlington,VA,701983.3795216355,38.8865657,-77.0952497,Clarendon,149.83,5956.36,0.03482383912021046,0.04035589496505748,0.06771572915244287,0.21467753962388825,0.015574810962276857
20105,Aldie,VA,1059592.4691371724,38.9531257,-77.6027422,Ashburn,11226.64,50082.01,0.09065573528610349,0.16326247422466647,0.5485877906065594,0.7692946973770252,0.028974194295094846
22172,Triangle,VA,529571.1491764424,38.5647266,-77.3714792,Franconia-Springfield,28481.48,47570.75,0.05630145457954363,0.13251892906695978,0.41847830098883415,0.6458231227155371,0.02063065981600855
22610,Bentonville,VA,429851.27706764307,38.824656,-78.2791425,Ashburn,71040.45,108628.12,0.10681903452941842,0.2390443680089207,0.5387645721957661,0.8467890074848922,0.02844754673998469
20032,Washington,DC,339759.8678792795,38.8337188,-77.0065907,Congress Heights,2052.68,7418.94,-0.03048488220731257,-0.03936091403844725,0.13428549658134895,1.0006100313511073,0.02834883192297866
20853,Rockville,MD,636599.3846974443,39.1017131,-77.0945621,Rockville,4880.36,23335.98,0.05938238839389685,0.12404799662413574,0.3179170769486852,0.5159088868651193,0.022455619721623295
21788,Thurmont,MD,383239.9623595397,39.5899788,-77.4138613,Shady Grove,56491.13,83778.38,0.07373464547683767,0.16165811877531433,0.4292560474187678,0.694374147882133,0.016694238272342156
21703,Frederick,MD,414677.875071699,39.3670313,-77.4734816,Shady Grove,38232.3,64747.4,0.03845440116036541,0.14153412765090448,0.4215664523588262,0.6431535531970435,0.017458980142324478
20817,Bethesda,MD,1287573.278586003,38.9972294,-77.151871,Medical Center,4729.56,15348.28,0.0627778646983874,0.13092287617458626,0.3474818288555702,0.41224506754898704,0.025097874431395936
22310,Rose Hill,VA,673068.0569744637,38.7840711,-77.1228169,Van Dorn Street,1775.83,15120.71,0.05924755024311368,0.13768219753445526,0.3180470579304579,0.5334056695181008,0.021798859776942407
22308,Fort Hunt,VA,958078.5189684614,38.7327286,-77.0580885,Huntington,6957.33,18593.47,0.05651327168264135,0.11963196924035276,0.3344370597985816,0.47494988666474175,0.026110872684062956
21757,Keymar,MD,447603.1175903279,39.5915743,-77.2681688,Shady Grove,53202.6,79812.14,0.06838045572043346,0.14144453229462858,0.4061246218925164,0.6299254483032729,0.020485465467424517
20748,Temple Hills,MD,363233.2022498434,38.8149015,-76.9334361,Branch Ave,2283.43,12377.06,0.03688204291714002,0.059593057967759065,0.2818156934652261,0.7860324586196118,0.021388177779970492
22630,Front Royal,VA,377785.51471232733,38.9302099,-78.1748776,Ashburn,59664.28,99281.25,0.07349525673551445,0.18757853112508607,0.5180386139580979,0.9108402301141455,0.02247795534360248
20781,Edmonston,MD,434139.4890156525,38.9528597,-76.9462962,Hyattsville Crossing,1623.81,9320.78,0.02792914772124385,0.06142793317963315,0.2669635388473469,0.7564334623892952,0.02130528165317049
